,Identifiant,ft_2_categ,EXPO,ft_4_categ,ft_5_categ,ft_6_categ,ft_7_categ,ft_8_categ,ft_9_categ,ft_10_categ,ft_11_categ,ft_12_categ,ft_13_categ,ft_14_categ,ft_15_categ,ft_16_categ,ft_17_categ,ft_18_categ,ft_19_categ,superficief,ft_21_categ,ft_22_categ,ft_23_categ,ft_24_categ,Insee,target
1720,10508,2012,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,7350,2,1955,0,8,13208,1
1721,18910,2013,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,effpi,2,450,2,1920,0,2,13206,0
1722,4898,2012,"0,259562842",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1300,2,,0,   .,13204,0
1723,13606,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,880,3,1980,0,   .,92051,0
1724,2572,2012,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3000,2,1992,0.6,5,83071,1
1725,4404,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,530,1,1980,0,   .,13021,0
1726,4391,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,935,2,1980,0,   .,56121,0
1727,12478,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,72,2,1960,0,   .,13210,0
1728,9112,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700,3,,0,   .,59350,0
1729,6868,2013,"0,41369863",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,650,1,1960,0,   .,54482,0
1730,18204,2016,"0,99726776",0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,14200,2,1979,0,7,14118,1
1731,19088,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,500,2,2008,0,3,38027,0
1732,5916,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,516,3,1980,0,   .,94046,0
1733,10807,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,769,3,1920,1,5,33063,0
1734,18986,2013,"0,97260274",0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,5000,3,1970,0.3,>=10,2A004,1
1735,15541,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,3068,3,2009,0,5,92035,1
1736,5856,2016,"0,99726776",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,695,2,1960,0,   .,13216,0
1737,14136,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450,2,1960,0,   .,13204,0
1738,2445,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,3,1960,0,   .,92025,0
1739,13665,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2210,2,1980,0,   .,31555,1
1740,14410,2014,"0,495890411",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2208,1,1980,0,   .,13071,0
1741,12016,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,960,1,1930,0.6,3,87085,0
1742,18522,2013,"0,528767123",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,2400,1,1988,0,3,86194,0
1743,12859,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,950,3,1980,0,   .,92051,0
1744,7639,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1193,2,1900,0,3,9096,0
1745,11451,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3116,2,1988,0,   .,83009,1
1746,9913,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,750,2,1960,0,   .,57529,0
1747,8267,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2000,3,,0,   .,2B033,1
1748,14102,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,550,4,1960,0,   .,75118,0
1749,10428,2015,"0,98630137",0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,1,1830,V,   .,,0
1750,11637,2015,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,pi,1,350,2,1920,0,3,21231,0
1751,16580,2013,1,1,V,N,1,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,pi,2,399,2,1970,0,2,95313,0
1752,4816,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1222,4,,0,   .,75107,1
1753,1467,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1660,2,1980,0,   .,21231,1
1754,10005,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1680,2,1960,0,   .,13207,1
1755,3324,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,450,2,1988,0.3,3,62826,0
1756,19854,2016,"0,669398907",0,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,420,2,1930,0.6,5,13204,0
1757,4164,2014,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5237,3,,0,   .,92014,1
1758,13857,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,510,2,1960,0,   .,13201,0
1759,11878,2016,"0,99726776",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1500,1,1984,0,3,5177,0
1760,15725,2015,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,1750,1,1996,0,5,42330,0
1761,17356,2016,"0,494535519",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1010,3,2011,0.6,3,94015,0
1762,10713,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2150,1,1995,0,2,13096,0
1763,5654,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,550,4,1960,0,   .,75114,0
1764,7219,2013,"0,920547945",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,540,2,1960,0,   .,31555,0
1765,8597,2013,"0,747945205",0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,5636,4,1965,0,4,6029,1
1766,5815,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500,2,,0,   .,29232,0
1767,11722,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1440,2,1988,0,   .,62193,1
1768,10401,2016,"0,99726776",0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,2790,1,2001,0,4,63032,0
1769,6819,2014,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,1700,3,1880,0,6,67482,0
1770,12627,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1120,2,1960,0,   .,29019,0
1771,2740,2013,"0,246575342",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1350,2,1980,0,   .,30007,0
1772,1002,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,V,base,2,476,2,,0,   .,30334,0
1773,15360,2013,1,0,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,eff,2,1300,2,2008,0,5,38563,0
1774,6541,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,390,2,1965,0.3,3,13216,0
1775,14800,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,900,3,1960,0,   .,94068,0
1776,11553,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,650,2,1960,0,   .,63113,0
1777,2734,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1580,2,1960,0,   .,13202,1
1778,1319,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,690,2,1980,0,   .,90010,0
1779,4830,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,312,2,1960,0,   .,29019,0
1780,14457,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,726,1,1988,0,   .,74278,0
1781,1582,2014,1,1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,1970,V,   .,,1
1782,18399,2014,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,6600,2,2005,0,4,78423,1
1783,2523,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450,3,1960,0,   .,54395,0
1784,18997,2012,"0,103825137",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,5170,3,1980,0,6,92033,1
1785,7962,2016,"0,99726776",1,O,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1300,3,,0,   .,83137,0
1786,10978,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1150,2,1980,0,   .,13205,0
1787,17078,2013,1,1,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,3780,2,1970,0,4,78208,1
1788,17339,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,510,2,1900,0,2,26198,0
1789,12618,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400,3,1980,0,   .,93029,0
1790,15080,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,1,1977,3,2008,0,3,94073,0
1791,12647,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1105,2,1960,0,   .,13207,0
1792,2049,2012,"0,24863388",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2110,2,1980,0,   .,66124,0
1793,1506,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,546,2,1920,0,4,13205,0
1794,3219,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1800,2,,0,   .,13205,1
1795,4582,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2320,2,1960,0,   .,13209,1
1796,829,2013,1,0,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,2374,4,1960,0,6,6012,1
1797,10020,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,360,2,1960,0,   .,13206,0
1798,14501,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1300,2,2007,0.6,2,4112,0
1799,1536,2013,"0,246575342",0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,1980,V,   .,,0
1800,14809,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,368,4,1960,0,   .,75116,0
1801,17941,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,900,4,1900,0,7,6029,1
1802,1789,2015,1,1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,250,4,1969,0,7,75102,0
1803,3070,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3500,2,1970,0.6,3,38416,1
1804,10282,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,1850,2,1960,0,6,90010,0
1805,14315,2016,"0,99726776",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2255,2,1960,0,>=10,13209,1
1806,190,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,792,3,1980,0,   .,83137,0
1807,10731,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,3400,2,1970,0,6,29151,1
1808,13444,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,250,2,1960,0,   .,13216,0
1809,1677,2015,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,853,2,1900,0.3,4,69091,0
1810,17881,2013,"0,654794521",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,500,2,1926,0.3,3,64249,0
1811,12366,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400,1,1980,0,   .,17306,0
1812,10866,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1336,4,1960,0,   .,75105,1
1813,14385,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,280,2,1960,0,   .,51454,0
1814,4509,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,468,2,1960,0,   .,13205,0
1815,7340,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600,3,1960,0,   .,92051,0
1816,8106,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1000,2,,0,   .,59378,0
1817,15339,2014,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,300,4,1900,0.3,4,75117,1
1818,675,2014,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,410,4,,0,   .,75119,0
1819,14981,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1300,2,1980,0,   .,14338,0
1820,12665,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,6850,1,1988,0,   .,74012,1
1821,1451,2013,"0,915068493",0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,2870,2,1970,0,9,42218,1
1822,19886,2016,0,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,535,3,1960,0,1,33039,0
1823,13367,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600,4,1960,0,   .,6012,0
1824,16048,2016,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1900,4,1900,0,7,75118,1
1825,1011,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1800,1,,0,   .,74042,0
1826,7157,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2600,1,1980,0,   .,43157,1
1827,13250,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,11100,3,1980,0,   .,59350,1
1828,8724,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,960,4,1960,0,   .,6088,0
1829,16166,2013,1,0,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,300,2,1900,0.6,2,31555,0
1830,5631,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,380,3,1960,0,   .,92004,0
1831,15174,2013,1,0,V,N,2,O,2,O,N,O,N,N,AUTRE,IDENTIQUE,V,pi,2,4430,1,1975,0,5,86137,1
1832,8861,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,448,4,,0,   .,6104,0
1833,14325,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1620,4,1960,0,   .,75117,1
1834,11418,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,350,2,1950,0.6,3,83107,0
1835,264,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1920,2,1980,0,   .,14327,1
1836,19296,2014,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,1,1850,2,1975,0.3,3,78146,0
1837,6618,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2761,1,1960,0,   .,74224,1
1838,7291,2013,"0,328767123",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2019,2,1980,0,   .,66136,0
1839,6608,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,2200,3,1900,0,8,92035,0
1840,16579,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1780,2,1960,0,5,13206,0
1841,15246,2012,"0,24863388",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,1,250,2,1948,0.3,2,69259,0
1842,5398,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,900,2,1980,0,   .,38151,0
1843,9166,2013,"0,402739726",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,2,,0,   .,13203,0
1844,705,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,784,1,,0,   .,74236,0
1845,5656,2012,0,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2770,4,,0,   .,75105,0
1846,17433,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3228,2,2007,0,3,38247,1
1847,5982,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,336,2,,0,   .,69034,0
1848,5904,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4250,1,1980,0,   .,42186,1
1849,3881,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3645,4,1960,0,4,6104,1
1850,17505,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1712,2,2008,0.6,4,29239,0
1851,7820,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,1,350,3,,0,   .,59350,0
1852,1496,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,6101,2,1988,0,   .,34329,1
1853,2731,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,480,2,1960,0,   .,13206,0
1854,7139,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2854,1,1960,0,   .,58194,1
1855,8097,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,610,3,,0,   .,59350,0
1856,19121,2013,"0,95890411",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,796,2,2008,0,2,57731,0
1857,17721,2015,"0,783561644",1,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,12765,3,1976,0,>=10,93001,1
1858,5767,2013,1,0,V,N,1,O,1,O,N,O,N,O,AUTRE,IDENTIQUE,V,base,1,490,2,1966,0.3,4,63113,0
1859,15807,2013,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3215,2,2000,0.6,8,64129,1
1860,13639,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400,2,1960,0,   .,34172,0
1861,12667,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2088,4,1980,0,   .,6088,1
1862,194,2014,"0,934246575",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,462,2,,0,   .,64102,0
1863,4234,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350,1,1988,0,   .,13096,0
1864,17945,2016,"0,99726776",0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,3720,2,2011,0,5,13210,1
1865,388,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350,1,1960,0,   .,12208,0
1866,3290,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,620,2,,0,   .,13206,0
1867,13776,2013,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,6010,3,1975,0,9,92002,1
1868,6650,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350,3,1960,0,   .,94041,0
1869,7185,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,420,4,1960,0,   .,75113,0
1870,4308,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,4,1980,0,   .,6083,0
1871,683,2013,"0,580821918",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1333,1,,0,   .,43157,0
1872,7611,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,380,2,1900,0.6,3,34172,0
1873,14525,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,310,2,1980,0,   .,77288,0
1874,9428,2012,"0,833333333",1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,2275,4,1950,0,6,75115,1
1875,8520,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,4,,0,   .,6029,0
1876,19507,2016,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,395,2,1960,0.6,1,13210,0
1877,9117,2014,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400,3,1960,0,   .,59350,0
1878,3664,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3072,2,1960,0,   .,14312,1
1879,8785,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,770,4,,0,   .,6088,0
1880,19022,2016,"0,99726776",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1890,2,1983,0,5,65388,0
1881,4054,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,eff,2,975,4,1900,0,7,75118,1
1882,16705,2013,1,1,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,6000,1,1976,0.3,4,13056,0
1883,6559,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,672,1,1960,0,   .,21607,0
1884,18190,2016,"0,99726776",1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,1432,4,1912,0,7,75112,1
1885,17564,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,600,2,1900,0.3,5,13206,0
1886,9279,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,320,4,,0,   .,75114,0
1887,4368,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2478,1,1960,0,   .,73248,1
1888,10144,2012,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,336,2,1950,0,1,76259,0
1889,5534,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2473,4,1988,0,   .,6088,1
1890,19506,2014,"0,671232877",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2600,1,2014,0.6,3,44132,0
1891,11441,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1294,2,1980,0,   .,34003,1
1892,9884,2016,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,550,2,1980,0,   .,63113,0
1893,8298,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400,2,,0,   .,68066,0
1894,17713,2014,"0,764383562",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,190,2,1900,0,3,68154,0
1895,13704,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2740,4,1960,0,   .,75119,1
1896,16778,2014,1,1,V,N,3,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,effpi,2,2710,3,1970,0,5,94038,1
1897,6732,2014,1,1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,504,3,1920,0,6,92025,0
1898,16039,2012,0,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,288,1,1930,0,2,10357,0
1899,11741,2013,"0,164383562",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4390,4,1960,0,   .,75117,1
1900,1044,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,900,1,1960,0,   .,58117,0
1901,5961,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,446,2,1960,0,   .,26362,0
1902,17976,2015,1,0,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,850,3,1945,0,5,2B033,0
1903,18246,2015,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,eff,2,8043,3,1962,0,9,83137,1
1904,371,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,686,4,1960,0,   .,6083,0
1905,4621,2016,"0,99726776",0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1800,1,2000,0,3,63075,0
1906,1848,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5575,2,1960,0,   .,34079,1
1907,5232,2014,1,0,V,N,V,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,eff,2,300,2,1950,0.6,1,44109,0
1908,9271,2013,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,547,3,1950,0.6,4,92073,0
1909,9056,2012,"0,833333333",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500,2,,0,   .,13201,0
1910,9775,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1750,1,1960,0,   .,84138,0
1911,9779,2013,1,0,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,650,2,1980,0,4,51454,0
1912,5192,2013,"0,832876712",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,320,2,1980,0,   .,62108,0
1913,10604,2016,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,670,2,1850,0,6,66136,0
1914,15344,2016,1,1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,3300,4,1980,0,9,6088,1
1915,15171,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1700,2,1950,0,3,13207,0
1916,1551,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2110,1,1980,0,   .,36044,0
1917,15817,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,eff,1,160,1,2009,0,2,73257,0
1918,9241,2014,"0,221917808",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,367,3,,0,   .,59350,0
1919,4445,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1280,2,1960,0,   .,51454,0
1920,86,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,716,2,1960,0,   .,26362,0
1921,10336,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2600,2,1980,0,   .,90033,1
1922,7869,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,525,2,1960,0,   .,60141,0
1923,19155,2016,"0,994535519",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3771,3,2012,0.3,2,33318,0
1924,5870,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,1,550,2,1970,0,3,30133,0
1925,19188,2014,1,1,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,7898,3,1970,0,6,94042,1
1926,18062,2015,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,4367,2,2004,0,4,83126,1
1927,11037,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,570,1,1980,0,   .,86194,0
1928,1889,2013,"0,495890411",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,8957,2,1980,0,   .,34324,1
